,year,HighD+LowS_gap_wyld,HighD+HighS_gap_wyld,LowD+HighS_gap_wyld,all_gap_wyld,kgha_soy_yld_wyld,pred_wyld,HighD+LowS_gap_wyld_%,HighD+HighS_gap_wyld_%,LowD+HighS_gap_wyld_%,all_gap_wyld_%
0,1981.0,0.1214612743115906,0.03236920834439667,0.08641939534511739,0.2402498780010942,2.1973026486965463,2.2168187894105515,-4.943340653134524,-1.3173912790355762,-3.517174611003214,-9.77790654317289
1,1982.0,0.06472609506968108,0.02737029861011776,0.07852983790346982,0.17062623158325974,2.2247017204320385,2.229818566477464,-2.696420893409927,-1.1402177893126197,-3.271470269464754,-7.108108952186928
2,1983.0,0.5488064374705071,0.11956459005649848,0.040679366707230956,0.709050394234229,1.8985391706673473,1.8708548471391655,-21.272348637826475,-4.634456651316741,-1.5767775519373566,-27.483582841080278
3,1984.0,0.22352004535779435,0.08098480363208807,0.04494447487056091,0.34944932386044036,1.9315508055844206,1.9813737182863005,-9.589747540505147,-3.474515317880985,-1.9282662843922307,-14.992529142778235
4,1985.0,0.1520759701252121,0.06846950226711436,0.030446472738777656,0.25099194513109624,2.3672250550086695,2.3668877064727782,-5.809127628615051,-2.6154564525212503,-1.163020336711211,-9.587604417847212
5,1986.0,0.1109404552063574,0.05575417766607769,0.04825349341454999,0.2149481262869783,2.3887810838471917,2.4031998284105844,-4.237363858956273,-2.1295273846553173,-1.8430392112856748,-8.209930454897005
6,1987.0,0.32665323271673385,0.08501555171555512,0.028199869732583423,0.43986865416486376,2.405396463589419,2.3296239011608924,-11.794696183189844,-3.069715842061736,-1.0182323717879238,-15.882644397039192
7,1988.0,1.1692097433220106,0.04728825838542067,0.001339703266594352,1.217837704974021,1.7469515164259992,1.7781820383044327,-39.02543519431483,-1.578369384631443,-0.044716102742646,-40.64852068168877
8,1989.0,0.23065563150450719,0.020222956615694846,0.052647242429435505,0.3035258305496328,2.207654581870893,2.163855643729299,-9.34819499574601,-0.8196120797091098,-2.133729339311877,-12.301536414766803
9,1990.0,0.16509562995403576,0.08168041328573808,0.12016206885676844,0.3669381120965321,2.3415512292123055,2.366228370979457,-6.04045274871921,-2.9884902288795976,-4.3964416218632385,-13.425384599461673
10,1991.0,0.3258545860283945,0.05805991404123222,0.03502582476911805,0.4189403248387415,2.32520879422193,2.354351664502804,-11.749739561529589,-2.093537725719866,-1.2629692403010953,-15.106246527550432
11,1992.0,0.06961087690810529,0.0156638967614651,0.04921466572115568,0.13448943939071606,2.488511166691917,2.474286850820871,-2.6683344665961926,-0.6004308157904436,-1.8865038717890252,-5.1552691541752775
12,1993.0,0.0763513718234526,0.02954685646712542,0.15116420640376693,0.2570624346943311,2.188045100807186,2.329375262620582,-2.9519895995452003,-1.1423765009997815,-5.844494400955287,-9.938860501499732
13,1994.0,0.10567890802803528,0.054365541827888914,0.017954262207472652,0.17799871206339005,2.795388604923186,2.763559290699022,-3.592616835323063,-1.8481886733776562,-0.6103657378372901,-6.051171246537779
14,1995.0,0.09978810466451557,0.0878802256805999,0.09151577240765764,0.2791841027527598,2.4462165980053467,2.4752056697188727,-3.622875224916748,-3.1905515537019,-3.3225425581484274,-10.135969336766593
15,1996.0,0.061085242828143184,0.04398804672291058,0.12609196271796158,0.23116525226901183,2.517111010695689,2.537185044253765,-2.2065575626346896,-1.5889624509644733,-4.554769057815446,-8.350289071414482
16,1997.0,0.09226232071921335,0.03204108384264267,0.06506533055194205,0.18936873511379285,2.647465392045407,2.618155502484967,-3.286251975445959,-1.1412576038897175,-2.317534063662852,-6.7450436429983425
17,1998.0,0.12981367506337865,0.06395424379568163,0.0738701813562675,0.26763810021531803,2.674271041516052,2.6733760084406337,-4.413908613403549,-2.1745643316518746,-2.5117248210014975,-9.100197766056588
18,1999.0,0.2181571453192051,0.05115157012186599,0.049103282114311406,0.31841199755537536,2.4697595171178843,2.466081956406482,-7.834714275777288,-1.8370149466148444,-1.7634544346719034,-11.43518365706378
19,2000.0,0.17240186925099835,0.050328911499919825,0.04370876118163067,0.2664395419325384,2.599343460355366,2.646777867471287,-5.917919778128728,-1.727605750860159,-1.5003604276337013,-9.14588595662223
20,2001.0,0.09025370517759669,0.04925781129307427,0.08131247211289497,0.22082398858355978,2.665243540758703,2.6802528831387433,-3.1110414914312536,-1.6979147217092194,-2.802837556821499,-7.61179376996176
21,2002.0,0.29356557482210216,0.09314033439789225,0.06525231962784167,0.45195822884783016,2.5673226652245567,2.501000137251543,-9.941405818392195,-3.154136389702079,-2.2097270444769213,-15.305269252570994
22,2003.0,0.2066525039289743,0.03095264318937867,0.08220208731121516,0.3198072344295577,2.220918935099007,2.3331267935284288,-7.78958322186544,-1.1667324879994663,-3.098534921898818,-12.054850631763331
23,2004.0,0.037816886049505415,0.008218016057994455,0.0756034649219802,0.12163836702946845,2.871061563387752,2.9000797984830644,-1.251502753668989,-0.2719650082455835,-2.5020025290530894,-4.025470290967278
24,2005.0,0.29986041677414654,0.05955214291083685,0.0200930516074411,0.37950561129241706,2.9257873088792943,2.8716199587754407,-9.223280070596838,-1.831739243144456,-0.6180336986190822,-11.673053012360146
25,2006.0,0.3107999558541229,0.08647245338951562,0.02774440051075027,0.4250168097543803,2.9288654537370893,2.9170003913207303,-9.29977128047516,-2.587432924094402,-0.8301692912240258,-12.717373495793332
26,2007.0,0.3934687801460025,0.08998116383449599,0.02853836574131382,0.51198830972181,2.830266110789132,2.739272179048362,-12.10203800972086,-2.7675778100613657,-0.8777631272512647,-15.747378947033418
27,2008.0,0.11114515335460441,0.03789948206353347,0.0788396596182203,0.22788429503634713,2.7044225094337113,2.7168729971689887,-3.774340033007187,-1.287015475395952,-2.67728888309084,-7.738644391493603
28,2009.0,0.057778468878427865,0.04300519943754611,0.0700660524436127,0.17084972075957844,3.0089466613963896,3.023926251759615,-1.8085295925418992,-1.3461100185887211,-2.193144466037885,-5.347784077168248
29,2010.0,0.16545492527062142,0.06308433196944532,0.05510071394576012,0.283639971185817,3.0027925687138017,3.028872328660809,-4.994847121874301,-1.9044255917892356,-1.6634116029791455,-8.562684316642384
30,2011.0,0.21367686571242542,0.11454163695204551,0.07559969471936766,0.40381819738383146,2.856125290500563,2.8915545175689177,-6.484148659205283,-3.475832534277928,-2.2941166677849263,-12.254097861267923
31,2012.0,0.941422130714735,0.1032205857453868,0.006059824167518764,1.0507025406276336,2.717322688564843,2.723171032021487,-24.945778192932185,-2.735136293209996,-0.16057305712191597,-27.84148754326391
32,2013.0,0.15150250458981515,0.05095859987407677,0.05891959434168264,0.26138069880557036,2.9938493118104983,2.9762472195323415,-4.679429150326557,-1.5739486179201587,-1.8198383454739282,-8.073216113720514
33,2014.0,0.05982392425274301,0.019013071301886703,0.07031644130111207,0.14915343685572785,3.262910683184625,3.2843865915125634,-1.7423395026261839,-0.5537454389580021,-2.0479283981007876,-4.344013339684567
34,2015.0,0.07418271987758254,0.02525324461018487,0.09958510318573462,0.19902106767348324,3.327053866124673,3.3045150276048436,-2.117367078865198,-0.720793048035622,-2.8424169318519152,-5.680577058752199
35,2016.0,0.11973918855667583,0.06683437595511664,0.03943114373478062,0.22600470824656305,3.6173852754925817,3.5617020249208107,-3.161258169967846,-1.7645076734657354,-1.0410294807013034,-5.96679532413462
36,2017.0,0.13103750834649291,0.07300324075449789,0.04771989946092054,0.2517606485619067,3.4288319188934993,3.3803002879366426,-3.6078003821383637,-2.0099673995248524,-1.3138518404629085,-6.931619622125998
37,2018.0,0.14607738501617162,0.058926556916782995,0.06334368520068498,0.26834762713363175,3.544684546845067,3.4691662086590958,-3.9084105486712826,-1.5766244489175159,-1.6948080457674017,-7.179843043355989
38,2019.0,0.06057677161925769,0.023637315962881527,0.10086684816741175,0.1850809357495436,3.2507497076033793,3.243931202045248,-1.7665954270495758,-0.6893331085751933,-2.941571628039775,-5.397500163664329
39,2020.0,0.12796371021581052,0.06461312650366409,0.06599794031808305,0.2585747770375525,3.508755555466397,3.486157594523188,-3.4171657015499193,-1.7254404345252168,-1.7624207491916504,-6.905026885266649
